               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.027288,            0.016488,           0.0033669,               0.914,             0.85711,             0.90207,             0.57547,            0.029849,            0.011034,           0.0028093,             0.00769,             0.00769,             0.00769
                  37,            0.027491,            0.016356,           0.0033783,             0.88732,             0.86968,             0.90426,             0.55276,            0.028789,            0.011029,            0.002985,            0.007624,            0.007624,            0.007624
                  38,            0.026699,            0.016178,           0.0037203,             0.89934,             0.86421,             0.90691,               0.573,             0.02852,            0.010937,           0.0029428,            0.007558,            0.007558,            0.007558
                  39,            0.026988,            0.016986,           0.0038393,             0.89288,             0.84644,             0.89733,             0.57983,            0.028298,            0.011085,           0.0032176,            0.007492,            0.007492,            0.007492
                  40,            0.026911,             0.01697,           0.0037637,             0.88684,             0.87077,             0.89951,             0.57638,            0.028461,            0.011031,           0.0025525,            0.007426,            0.007426,            0.007426
                  41,            0.026713,            0.016064,           0.0039569,             0.90126,             0.87011,             0.90294,             0.57275,            0.027743,            0.011072,           0.0028506,             0.00736,             0.00736,             0.00736
                  42,             0.02669,            0.016309,           0.0035347,             0.88476,             0.86154,               0.898,              0.5772,             0.02882,            0.010808,           0.0034539,            0.007294,            0.007294,            0.007294
                  43,            0.025866,            0.015665,           0.0033062,             0.90233,             0.87812,             0.90323,             0.58005,             0.02627,            0.010865,           0.0032431,            0.007228,            0.007228,            0.007228
                  44,            0.026515,            0.015874,           0.0031856,             0.92749,             0.85307,              0.9014,             0.58102,            0.026915,               0.011,           0.0029012,            0.007162,            0.007162,            0.007162
                  45,            0.025387,            0.015884,           0.0029675,             0.87985,             0.87104,             0.90147,             0.57732,             0.02749,             0.01117,             0.00343,            0.007096,            0.007096,            0.007096
                  46,            0.025408,            0.015929,           0.0027494,             0.91806,             0.86729,             0.91206,             0.58577,            0.026798,            0.011002,           0.0027211,             0.00703,             0.00703,             0.00703
                  47,            0.026021,            0.015919,           0.0030007,             0.90787,             0.87261,              0.9028,             0.58196,             0.02777,            0.011427,           0.0028726,            0.006964,            0.006964,            0.006964
                  48,             0.02586,            0.015293,           0.0026362,             0.92439,             0.84707,             0.90706,              0.5797,            0.028694,            0.011027,           0.0031211,            0.006898,            0.006898,            0.006898
                  49,            0.025937,            0.015723,           0.0028474,             0.90294,             0.87157,             0.90469,             0.58262,            0.028234,            0.011025,           0.0027821,            0.006832,            0.006832,            0.006832
                  50,            0.025081,            0.015273,           0.0028386,             0.90247,             0.85971,             0.89824,              0.5892,            0.028293,            0.010809,           0.0030452,            0.006766,            0.006766,            0.006766
                  51,            0.025181,            0.014721,           0.0030165,             0.91412,              0.8617,              0.8971,             0.57978,            0.030054,            0.011187,           0.0038425,              0.0067,              0.0067,              0.0067
                  52,            0.025317,            0.015457,           0.0028703,             0.92799,             0.85119,             0.90922,             0.58771,            0.027803,            0.011034,           0.0035065,            0.006634,            0.006634,            0.006634
                  53,            0.025004,            0.015493,           0.0029633,             0.89534,             0.87415,             0.90674,             0.57445,             0.02865,              0.0111,            0.002583,            0.006568,            0.006568,            0.006568
                  54,            0.024464,             0.01523,           0.0028306,             0.92567,             0.85592,             0.90276,             0.59035,            0.028873,            0.011026,           0.0055621,            0.006502,            0.006502,            0.006502
                  55,            0.024939,            0.015515,           0.0029468,              0.9005,             0.87723,             0.90588,             0.58975,            0.027055,            0.010968,           0.0028027,            0.006436,            0.006436,            0.006436
                  56,            0.024409,            0.014742,           0.0024351,             0.90708,             0.85938,             0.90861,             0.58196,            0.029446,            0.011162,           0.0053695,             0.00637,             0.00637,             0.00637
                  57,            0.024752,            0.016469,           0.0027804,             0.91472,             0.86772,             0.91308,             0.58891,            0.028144,            0.011233,            0.004627,            0.006304,            0.006304,            0.006304
                  58,            0.024132,            0.014672,           0.0027933,             0.90456,             0.87713,             0.90188,             0.58482,             0.02755,            0.010975,           0.0041697,            0.006238,            0.006238,            0.006238
                  59,            0.024576,            0.014968,           0.0027829,             0.92094,             0.85527,              0.9084,             0.58868,            0.028796,            0.011245,           0.0084254,            0.006172,            0.006172,            0.006172
                  60,            0.023784,            0.015221,           0.0025528,             0.90833,             0.88092,             0.91299,             0.59075,            0.027747,            0.010784,            0.002493,            0.006106,            0.006106,            0.006106
                  61,            0.024269,            0.015307,           0.0024046,              0.9061,             0.87695,             0.91162,              0.5841,            0.026401,            0.010897,           0.0029176,             0.00604,             0.00604,             0.00604
                  62,            0.024218,            0.015403,           0.0025471,             0.90913,             0.85131,             0.90539,             0.59333,             0.02703,            0.010951,           0.0037274,            0.005974,            0.005974,            0.005974
                  63,            0.024215,            0.014484,           0.0025581,             0.90747,             0.86617,             0.90467,             0.59009,             0.02801,            0.011187,           0.0048613,            0.005908,            0.005908,            0.005908
